datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,day,hour,month,part_of_the_day
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3.0,13.0,16,1,0,1,late_night
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8.0,32.0,40,1,1,1,late_night
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5.0,27.0,32,1,2,1,late_night
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3.0,10.0,13,1,3,1,late_night
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0.0,1.0,1,1,4,1,late_night
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0.0,1.0,1,1,5,1,late_night
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2.0,0.0,2,1,6,1,late_night
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1.0,2.0,3,1,7,1,morning
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1.0,7.0,8,1,8,1,morning
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8.0,6.0,14,1,9,1,morning
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12.0,24.0,36,1,10,1,morning
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26.0,30.0,56,1,11,1,morning
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29.0,55.0,84,1,12,1,morning
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47.0,47.0,94,1,13,1,afternoon
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35.0,71.0,106,1,14,1,afternoon
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40.0,70.0,110,1,15,1,afternoon
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41.0,52.0,93,1,16,1,afternoon
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15.0,52.0,67,1,17,1,afternoon
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9.0,26.0,35,1,18,1,afternoon
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6.0,31.0,37,1,19,1,afternoon
2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11.0,25.0,36,1,20,1,afternoon
2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3.0,31.0,34,1,21,1,afternoon
2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11.0,17.0,28,1,22,1,night
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15.0,24.0,39,1,23,1,night
2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4.0,13.0,17,2,0,1,late_night
2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1.0,16.0,17,2,1,1,late_night
2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1.0,8.0,9,2,2,1,late_night
2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2.0,4.0,6,2,3,1,late_night
2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2.0,1.0,3,2,4,1,late_night
2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0.0,2.0,2,2,6,1,late_night
2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0.0,1.0,1,2,7,1,morning
2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0.0,8.0,8,2,8,1,morning
2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1.0,19.0,20,2,9,1,morning
2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7.0,46.0,53,2,10,1,morning
2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16.0,54.0,70,2,11,1,morning
2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20.0,73.0,93,2,12,1,morning
2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11.0,64.0,75,2,13,1,afternoon
2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4.0,55.0,59,2,14,1,afternoon
2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19.0,55.0,74,2,15,1,afternoon
2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9.0,67.0,76,2,16,1,afternoon
2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7.0,58.0,65,2,17,1,afternoon
2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10.0,43.0,53,2,18,1,afternoon
2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1.0,29.0,30,2,19,1,afternoon
2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5.0,17.0,22,2,20,1,afternoon
2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11.0,20.0,31,2,21,1,afternoon
2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0.0,9.0,9,2,22,1,night
2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0.0,8.0,8,2,23,1,night
2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0.0,5.0,5,3,0,1,late_night
